"gene_name","cluster_index"
"SUCLG1",24
"FUOM",24
"NDUFA5",24
"GAMT",24
"ATF6B",24
"PTMA",25
"PPIA",25
"SUB1",25
"UBB",25
"TMA7",25
"TPM3",25
"COX5B",25
"ARHGDIB",25
"GNG5",25
"CALM2",25
"HNRNPA2B1",25
"PARK7",25
"TNFAIP8",25
"RAN",25
"CTSS",25
"NRGN",25
"HMGN1",25
"TMEM258",25
"ENY2",25
"HNRNPA1",25
"RBM8A",25
"HNRNPM",25
"SNRPG",25
"SRSF3",25
"PCBP2",25
"SEM1",25
"PPCS",25
"HNRNPA3",25
"C11orf58",25
"SRP9",25
"TRIR",25
"CD53",25
"RBMX",25
"ARL6IP4",25
"CBX3",25
"PPDPF",25
"ENSA",25
"FIS1",25
"EI24",25
"EIF1AX",25
"PARP1",25
"XRCC6",25
"REEP3",25
"ILF2",25
"LSM3",25
"PRDX2",25
"SNRPD1",25
"LSM4",25
"SNRPD3",25
"DNAJC8",25
"ERH",25
"UBE2I",25
"GPAA1",25
"POLR2K",25
"LSM2",25
"SEPT7",25
"UBE2D2",25
"LYPLA1",25
"SNRPE",25
"DCTN3",25
"BANF1",25
"KLHDC3",25
"MZT2A",25
"SNRPF",25
"FDPS",25
"ANAPC11",25
"SRSF7",25
"NAA38",25
"BRD9",25
"RTF1",25
"RAD23A",25
"PPIH",25
"MSC",25
"THRAP3",25
"RABL6",25
"SRPK1",25
"FMNL1",25
"PTMS",25
"RALY",25
"USP12",25
"TCEA1",25
"SMARCC1",25
"LSM5",25
"UBE2V2",25
"U2SURP",25
"OTUD6B-AS1",25
"HNRNPL",25
"ZNF684",25
"BRD7",25
"MRPL51",25
"HDAC2",25
"GTSF1",25
"TMEM160",25
"DHX9",25
"GTF2A2",25
"NUCB2",25
"BAX",25
"TXNDC12",25
"BTF3L4",25
"MAZ",25
"LSM8",25
"PPP1CC",25
"SNRNP70",25
"RPL37",26
"YBX1",26
"EEF1A1",26
"RPS18",26
"RPS27",26
"RPLP1",26
"RPL41",26
"TPT1",26
"RPS23",26
"RPS14",26
"RPS8",26
"RPL37A",26
"RPL13",26
"RPL30",26
"RPS24",26
"RPL39",26
"RPL28",26
"RPS15",26
"RPS6",26
"RPS12",26
"RPS27A",26
"RPL8",26
"RPS2",26
"RPL11",26
"RPS28",26
"RPL29",26
"RPL5",26
"RPS19",26
"RPL32",26
"RPL15",26
"RPS3A",26
"RPL19",26
"RPL10",26
"RPS3",26
